Ranking;Titulo;Ano;Duração;Classificação;Avaliação
199;Mad Max: Estrada da Fúria;2015;2h;16;8.1
200;Monstros SA;2001;1h 32m;Livre;8.1
201;Bancando o Águia;1924;45m;Passed;8.2
202;O 3º Homem;1949;1h 44m;14;8.1
203;Morangos Silvestres;1957;1h 31m;10;8.1
204;O Salário do Medo;1953;2h 11m;16;8.2
205;Tubarão;1975;2h 4m;14;8.1
206;Como Treinar o Seu Dragão;2010;1h 38m;Livre;8.1
207;Mary e Max - Uma Amizade Diferente;2009;1h 32m;12;8.1
208;A Mulher Faz o Homem;1939;2h 9m;Livre;8.1
209;Ratatouille;2007;1h 51m;Livre;8.1
210;Ford vs Ferrari;2019;2h 32m;12;8.1
211;O Grande Lebowski;1998;1h 57m;14;8.1
212;O Quarto de Jack;2015;1h 58m;14;8.1
213;Era uma Vez em Tóquio;1953;2h 16m;10;8.1
214;O Sétimo Selo;1957;1h 36m;12;8.1
215;Rocky, um Lutador;1976;2h;12;8.1
216;Logan;2017;2h 17m;16;8.1
217;Spotlight: Segredos Revelados;2015;2h 9m;12;8.1
218;Hotel Ruanda;2004;2h 1m;14;8.1
219;Platoon;1986;2h;14;8.1
220;O Exterminador do Futuro;1984;1h 47m;14;8.1
221;O Martírio de Joana D'Arc;1928;1h 50m;14;8.1
222;Antes do Pôr do Sol;2004;1h 20m;12;8.1
223;O Ódio;1995;1h 38m;16;8.1
224;Os Melhores Anos de Nossa Vida;1946;2h 50m;Livre;8.1
225;O Exorcista;1973;2h 2m;14;8.1
226;Piratas do Caribe: A Maldição do Pérola Negra;2003;2h 23m;14;8.1
227;Rush: No Limite da Emoção;2013;2h 3m;14;8.1
228;Jai Bhim;2021;2h 44m;Approved;8.7
229;Rede de Intrigas;1976;2h 1m;14;8.1
230;Conta Comigo;1986;1h 29m;12;8.1
231;O Mágico de Oz;1939;1h 42m;Livre;8.1
232;Os Incríveis;2004;1h 55m;Livre;8.0
233;Sempre ao Seu Lado;2009;1h 33m;Livre;8.1
234;A Criada;2016;2h 25m;18;8.1
235;Na Natureza Selvagem;2007;2h 28m;12;8.1
236;Meu Pai e Meu Filho;2005;1h 52m;Not Rated;8.2
237;A Noviça Rebelde;1965;2h 52m;Livre;8.1
238;Ser ou Não Ser;1942;1h 39m;Livre;8.1
239;As Vinhas da Ira;1940;2h 9m;12;8.1
240;A Batalha de Argel;1966;2h 1m;14;8.1
241;Feitiço do Tempo;1993;1h 41m;12;8.0
242;Amores Brutos;2000;2h 34m;16;8.1
243;Rebecca, a Mulher Inesquecível;1940;2h 10m;12;8.1
244;Rebeldia Indomável;1967;2h 7m;14;8.1
245;O Gigante de Ferro;1999;1h 26m;Livre;8.1
246;Histórias Cruzadas;2011;2h 26m;12;8.1
247;Aconteceu Naquela Noite;1934;1h 45m;Livre;8.1
248;Aladdin;1992;1h 30m;Livre;8.0
249;Dança com Lobos;1990;3h 1m;14;8.0
250;A Chantagem;2015;2h 43m;Not Rated;8.2
